,K,alpha,k,accuracy,precision,recall,n,norm
0,5.0,20.0,5.0,0.425,0.37825396825396823,0.4033333333333333,200.0,1.0
1,5.0,20.0,5.0,0.5,0.42642857142857143,0.445,200.0,1.0
2,5.0,20.0,5.0,0.475,0.515,0.45999999999999996,200.0,1.0
3,5.0,20.0,5.0,0.35,0.31893939393939397,0.3416666666666667,200.0,1.0
4,5.0,20.0,5.0,0.375,0.3583333333333333,0.36,200.0,1.0
5,5.0,20.0,5.0,0.4,0.3584126984126984,0.3833333333333333,200.0,2.0
6,5.0,20.0,5.0,0.5,0.4447619047619048,0.4533333333333333,200.0,2.0
7,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,200.0,2.0
8,5.0,20.0,5.0,0.375,0.3175,0.36666666666666664,200.0,2.0
9,5.0,20.0,5.0,0.4,0.3761904761904762,0.38,200.0,2.0
10,5.0,20.0,5.0,0.3,0.3056349206349206,0.29333333333333333,200.0,3.0
11,5.0,20.0,5.0,0.475,0.4197619047619048,0.42000000000000004,200.0,3.0
12,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,200.0,3.0
13,5.0,20.0,5.0,0.35,0.31785714285714284,0.3416666666666667,200.0,3.0
14,5.0,20.0,5.0,0.425,0.3820779220779221,0.40499999999999997,200.0,3.0
15,5.0,20.0,5.0,0.275,0.2892063492063492,0.2633333333333333,200.0,4.0
16,5.0,20.0,5.0,0.5,0.43611111111111106,0.445,200.0,4.0
17,5.0,20.0,5.0,0.425,0.45619047619047626,0.41500000000000004,200.0,4.0
18,5.0,20.0,5.0,0.375,0.28833333333333333,0.36166666666666664,200.0,4.0
19,5.0,20.0,5.0,0.375,0.3502930402930403,0.355,200.0,4.0
20,5.0,20.0,5.0,0.275,0.2785714285714286,0.2633333333333333,200.0,5.0
21,5.0,20.0,5.0,0.525,0.4867063492063492,0.47000000000000003,200.0,5.0
22,5.0,20.0,5.0,0.45,0.4677777777777778,0.43500000000000005,200.0,5.0
23,5.0,20.0,5.0,0.375,0.2911111111111111,0.36166666666666664,200.0,5.0
24,5.0,20.0,5.0,0.425,0.40583333333333327,0.40499999999999997,200.0,5.0
25,5.0,20.0,5.0,0.3,0.2719047619047619,0.2966666666666667,200.0,6.0
26,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,200.0,6.0
